respondent_id,collector_id,date_created,date_modified,ip_address,email_address,first_name,last_name,custom_1,Wie alt sind Sie?,Was ist Ihr Geschlecht?,Wie viele Personen leben in Ihrem Haushalt?,In welcher Art von Unterkunft wohnen Sie?,,,,Welche Art von Strom beziehen Sie hauptsächlich?,"Denken Sie, dass die zunehmende Erzeugung erneuerbarer Energien Herausforderungen für das Stromsystem mit sich bringt? Wenn ja, welche?Falls Sie es nicht wissen, können Sie gerne ‚wn‘ (weiss nicht) schreiben.",Welche der folgenden Konsequenzen der zunehmenden Einspeisung von erneuerbaren Energien ist aus Ihrer Sicht problematisch? (Nur eine Antwort möglich)?,"Bitte bewerten Sie, wie wichtig es für Sie ist, die folgenden Haushaltsgeräte jederzeit nutzen zu können (1 = sehr unwichtig, 5 = sehr wichtig)",,,,,,"Könnten Sie sich vorstellen, eines der folgenden Haushaltsgeräte für einen begrenzten Zeitraum nicht einzuschalten, wenn Sie vom Elektrizitätswerk darum gebeten werden?",,,,,,"Würde sich Ihre Bereitschaft erhöhen, die folgenden Haushaltsgeräte nicht zu nutzen, wenn Sie dafür eine finanzielle Belohnung erhalten würden?",,,,,,,,,,,,"Könnten Sie sich vorstellen, von Ihrem Elektrizitätswerk benachrichtigt zu werden (z. B. per SMS oder App), wenn das Stromnetz stark ausgelastet ist?","Könnten Sie sich vorstellen, einen intelligenten Zwischenstecker (Smart Plug) an Ihren Geräten zu installieren, damit Ihr Elektrizitätswerk Ihren Beitrag messen und Sie entsprechend vergüten kann?",Wie hoch ist Ihr monatliches Haushaltsnettoeinkommen?,Was ist Ihr höchster Bildungsabschluss?,Welche der folgenden Parteien entspricht am ehesten Ihrer politischen Präferenz?
118863315318,458224841,05/12/2025 04:43:22 PM,05/12/2025 04:52:41 PM,89.206.81.161,,,,,27,Männlich,2,,Wohnung (Miete),,,"Ökostrom (aus erneuerbaren Energien wie Wasser, Sonne, Wind)",Stabilität der Elektrizitätsversorgung,Herausforderungen für die Stabilität der Netze,2,5 = sehr wichtig,2,4,5 = sehr wichtig,2,"Ja, für mehr als 24 Stunden","Ja, für 3 bis 6 Stunden","Ja, für 6 bis 12 Stunden","Ja, für 3 bis 6 Stunden","Ja, für 6 bis 12 Stunden","Ja, für mehr als 24 Stunden","Ja, f",1%,Nein,,"Ja, f",0%,Nein,,Nein,,"Ja, f",1%,Ja,Ja,Über 10.000 CHF,Universität/Master,FDP.Die Liberalen (FDP)
118752452689,458224841,11/28/2024 11:35:35 AM,11/28/2024 11:41:36 AM,147.88.200.45,,,,,66,Männlich,2,,Wohnung (Miete),,,Weiss nicht,"Netzstabilität und Stromverfügbarkeit, da es noch keine grossen Stromspeicherkapazitäten gibt. Abgesehen von Pumpspeicherwerken.",Herausforderungen für die Stabilität der Netze,2,5 = sehr wichtig,4,5 = sehr wichtig,3,2,"Ja, für 6 bis 12 Stunden","Nein, auf keinen Fall","Ja, aber maximal für 3 Stunden","Nein, auf keinen Fall","Ja, für 6 bis 12 Stunden","Ja, für 6 bis 12 Stunden","Ja, f",15%,Nein,,"Ja, +",,Nein,,"Ja, +",15%,"Ja, f",,Ja,Ja,Keine Angabe,Universität/Master,Sozialdemokratische Partei der Schweiz (SP)
118745041241,458224841,11/19/2024 07:15:53 AM,11/19/2024 07:35:41 AM,80.187.102.183,,,,,26,Weiblich,über 6,,Wohnung (Miete),,,"Ökostrom (aus erneuerbaren Energien wie Wasser, Sonne, Wind)","Stromverteilung bspw., weil für den Ausbau des Netzes auf erneuerbare Energien teilweise neue Leitungen gelegt werden müssen und sich dabei diverse Menschen insbesondere quer stellen können. Zudem: Sicherheit der Technologien und Menschen (Politiker & Geldgeber), die den kurzfristigen Profit über den Schutz unserer Lebensgrundlage stellen (Stichwort: Klimawandel ",Steigende Strompreise für Verbraucher,2,3,4,5 = sehr wichtig,3,1 = sehr unwichtig,"Ja, für mehr als 24 Stunden","Ja, für maximal 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, f",30%,Nein,,"Ja, +",58%,Nein,,Nein,,"Ja, +",1%,Ja,Nein,Unter 3.000 CHF,Fachhochschule/Bachelor,Keine Angabe
118745035969,458224841,11/19/2024 07:17:24 AM,11/19/2024 07:22:12 AM,213.55.184.37,,,,,64,Männlich,1,Wohnung (Eigentum),,,,"Ökostrom (aus erneuerbaren Energien wie Wasser, Sonne, Wind)",Ja,Herausforderungen für die Stabilität der Netze,1 = sehr unwichtig,3,3,5 = sehr wichtig,5 = sehr wichtig,2,"Ja, für mehr als 24 Stunden","Ja, für 6 bis 12 Stunden","Ja, für mehr als 24 Stunden","Ja, für maximal 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden",,10%,,10%,,10%,,10%,,10%,,10%,Ja,Ja,3.000 - 5.000 CHF,Sekundarschule/Realschule,Die Mitte
118745035159,458224841,11/19/2024 07:14:42 AM,11/19/2024 07:20:09 AM,178.197.223.87,,,,,53,Männlich,2,,Wohnung (Miete),,,Eine Mischung aus konventionellem Strom und Ökostrom,"Volatilität, Versorgungssicherheit ",Herausforderungen für die Stabilität der Netze,1 = sehr unwichtig,5 = sehr wichtig,3,5 = sehr wichtig,5 = sehr wichtig,3,"Ja, für 3 bis 6 Stunden","Nein, auf keinen Fall","Nein, auf keinen Fall","Nein, auf keinen Fall","Ja, für 3 bis 6 Stunden","Ja, für 3 bis 6 Stunden","Ja, f",,Nein,,Nein,,Nein,,"Ja, +",20%,"Ja, +",20%,Ja,Ja,7.001 - 10.000 CHF,Fachhochschule/Bachelor,Keine Angabe
118728905344,458224841,10/29/2024 06:38:26 PM,10/30/2024 04:30:45 PM,194.230.144.149,,,,,31,Weiblich,2,,Wohnung (Miete),,,Weiss nicht,"ja, dezentralisierung, speicherung ",Keine der genannten Konsequenzen ist problematisch,4,2,1 = sehr unwichtig,3,3,1 = sehr unwichtig,"Ja, für mehr als 24 Stunden","Ja, für 3 bis 6 Stunden","Ja, für mehr als 24 Stunden","Ja, aber maximal für 3 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, f",0%,"Ja, f",,"Ja, f",,Nein,,"Ja, f",,"Ja, +",,Ja,Ja,Über 10.000 CHF,Universität/Master,Ich habe keine feste Parteipräferenz
118728041541,458224841,10/29/2024 07:19:14 PM,10/29/2024 07:24:24 PM,178.197.214.203,,,,,29,Männlich,1,,Wohnung (Miete),,,Konventionellen Strom (Kernenergie und fossilen Brennstoffen),Ja die unterschiedliche Stromproduktion (Wetter unf Tageszeit),Steigende Strompreise für Verbraucher,2,4,5 = sehr wichtig,5 = sehr wichtig,3,3,"Ja, für mehr als 24 Stunden","Ja, für 6 bis 12 Stunden","Nein, auf keinen Fall","Nein, auf keinen Fall","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden",Nein,,Nein,,Nein,,Nein,,Nein,,Nein,,Ja,Ja,Über 10.000 CHF,Fachhochschule/Bachelor,FDP.Die Liberalen (FDP)
118725909916,458224841,10/26/2024 03:53:22 PM,10/26/2024 04:02:30 PM,89.248.157.54,,,,,58,Weiblich,2,Wohnung (Eigentum),,,,Weiss nicht,Nein,Keine der genannten Konsequenzen ist problematisch,4,2,3,4,4,3,"Ja, für 3 bis 6 Stunden","Ja, aber maximal für 3 Stunden","Nein, auf keinen Fall","Ja, für 6 bis 12 Stunden","Nein, auf keinen Fall","Ja, aber maximal für 3 Stunden","Ja, f",,"Ja, f",,"Ja, +",,"Ja, +",,"Ja, f",,"Ja, f",,Ja,Nein,5.001 - 7.000 CHF,Sekundarschule/Realschule,Schweizerische Volkspartei (SVP)
118725489712,458224841,10/25/2024 07:44:41 PM,10/25/2024 08:13:27 PM,165.225.95.36,,,,,32,Männlich,2,,Wohnung (Miete),,,Eine Mischung aus konventionellem Strom und Ökostrom,Reserven,Keine der genannten Konsequenzen ist problematisch,3,4,4,5 = sehr wichtig,4,3,"Ja, für mehr als 24 Stunden","Ja, für 3 bis 6 Stunden","Ja, aber maximal für 3 Stunden","Nein, auf keinen Fall","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, +",10%,Nein,,Nein,,Nein,,Nein,,Nein,,Ja,Ja,Über 10.000 CHF,Fachhochschule/Bachelor,Sozialdemokratische Partei der Schweiz (SP)
118725204330,458224841,10/25/2024 02:30:27 PM,10/25/2024 02:36:09 PM,213.159.153.123,,,,,30,Männlich,3,,,,Haus (Eigentum),Konventionellen Strom (Kernenergie und fossilen Brennstoffen),Schwankungen der verfügbaren Strommenge,Herausforderungen für die Stabilität der Netze,1 = sehr unwichtig,5 = sehr wichtig,5 = sehr wichtig,5 = sehr wichtig,1 = sehr unwichtig,1 = sehr unwichtig,"Ja, für mehr als 24 Stunden","Ja, aber maximal für 3 Stunden","Nein, auf keinen Fall","Nein, auf keinen Fall","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, +",20%,"Ja, +",40%,Nein,,Nein,,"Ja, +",20%,"Ja, +",10%,Ja,Nein,Über 10.000 CHF,Berufsausbildung/Lehre/Maturität,Grünliberale Partei (GLP)
118725167746,458224841,10/25/2024 01:27:09 PM,10/25/2024 01:32:06 PM,194.230.161.192,,,,,30,Weiblich,3,,,Haus (Miete),,Konventionellen Strom (Kernenergie und fossilen Brennstoffen),evtl zu wenig für alle,Notwendigkeit kostspieliger Netzinfrastruktur-Upgrades,4,3,2,2,3,1 = sehr unwichtig,"Ja, für mehr als 24 Stunden","Ja, für maximal 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, +",,"Ja, +",,"Ja, f",,"Ja, f",,Nein,,"Ja, f",,Ja,Ja,7.001 - 10.000 CHF,Fachhochschule/Bachelor,Grüne Partei der Schweiz (GPS)
118725152865,458224841,10/25/2024 12:58:59 PM,10/25/2024 01:03:11 PM,178.197.215.139,,,,,47,Männlich,3,,,,Haus (Eigentum),"Ökostrom (aus erneuerbaren Energien wie Wasser, Sonne, Wind)",Unregelmäßige Lastenverteilung ,Herausforderungen für die Stabilität der Netze,3,4,2,4,3,3,"Ja, für 6 bis 12 Stunden","Ja, aber maximal für 3 Stunden","Ja, für maximal 24 Stunden","Nein, auf keinen Fall","Ja, für maximal 24 Stunden","Ja, für maximal 24 Stunden",Nein,,Nein,,Nein,,Nein,,Nein,,Nein,,Ja,Ja,Über 10.000 CHF,Promotion oder höher,Die Mitte
118725110569,458224841,10/25/2024 11:21:04 AM,10/25/2024 11:30:07 AM,152.96.31.150,,,,,33,Männlich,1,,Wohnung (Miete),,,"Ökostrom (aus erneuerbaren Energien wie Wasser, Sonne, Wind)","Netzstabilität, bedarfsgerechte Erzeugung",Herausforderungen für die Stabilität der Netze,1 = sehr unwichtig,5 = sehr wichtig,5 = sehr wichtig,5 = sehr wichtig,2,5 = sehr wichtig,"Ja, für 6 bis 12 Stunden","Nein, auf keinen Fall","Nein, auf keinen Fall","Nein, auf keinen Fall","Ja, für maximal 24 Stunden","Nein, auf keinen Fall","Ja, f",,Nein,,"Ja, +",,Nein,50%,"Ja, +",40%,"Ja, +",25%,Ja,Ja,5.001 - 7.000 CHF,Universität/Master,Grüne Partei der Schweiz (GPS)
118723447559,458224841,10/23/2024 03:12:49 PM,10/23/2024 03:22:51 PM,89.217.149.118,,,,,63,Weiblich,1,,Wohnung (Miete),,,Konventionellen Strom (Kernenergie und fossilen Brennstoffen),"Die Schwierigkeit, dass es auch Umweltfreundlich ist.",Steigende Strompreise für Verbraucher,1 = sehr unwichtig,4,3,3,3,2,"Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für maximal 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden",,0%,"Ja, +",,,1%,"Ja, f",,,1%,,1%,Ja,Ja,Unter 3.000 CHF,Berufsausbildung/Lehre/Maturität,Sozialdemokratische Partei der Schweiz (SP)
118723237756,458224841,10/23/2024 09:22:47 AM,10/23/2024 09:28:29 AM,89.217.210.249,,,,,40,Weiblich,4,,Wohnung (Miete),,,Konventionellen Strom (Kernenergie und fossilen Brennstoffen),Nein,Steigende Strompreise für Verbraucher,4,5 = sehr wichtig,4,4,5 = sehr wichtig,4,"Nein, auf keinen Fall","Nein, auf keinen Fall","Ja, aber maximal für 3 Stunden","Ja, aber maximal für 3 Stunden","Nein, auf keinen Fall","Ja, aber maximal für 3 Stunden","Ja, f",,"Ja, f",,"Ja, f",,"Ja, f",,"Ja, f",,"Ja, f",,Ja,Ja,5.001 - 7.000 CHF,Sekundarschule/Realschule,Keine Angabe
118722584838,458224841,10/22/2024 05:38:25 PM,10/22/2024 05:49:19 PM,128.116.182.39,,,,,63,Weiblich,2,,,,Haus (Eigentum),Eine Mischung aus konventionellem Strom und Ökostrom,Weiss nicht ,Herausforderungen für die Stabilität der Netze,2,5 = sehr wichtig,3,4,2,2,"Ja, für maximal 24 Stunden","Ja, für 6 bis 12 Stunden","Ja, für 6 bis 12 Stunden","Ja, für 3 bis 6 Stunden","Ja, für maximal 24 Stunden","Ja, für mehr als 24 Stunden","Ja, f",,"Ja, +",,"Ja, f",,"Ja, f",,"Ja, f",,"Ja, f",,Ja,Ja,3.000 - 5.000 CHF,Berufsausbildung/Lehre/Maturität,Sozialdemokratische Partei der Schweiz (SP)
118722351539,458224841,10/22/2024 01:02:20 PM,10/22/2024 01:48:23 PM,88.84.12.53,,,,,69,Männlich,2,,,,Haus (Eigentum),Eine Mischung aus konventionellem Strom und Ökostrom,"Ja, inteligente stromzähler",Notwendigkeit kostspieliger Netzinfrastruktur-Upgrades,1 = sehr unwichtig,5 = sehr wichtig,5 = sehr wichtig,5 = sehr wichtig,2,2,"Ja, für maximal 24 Stunden","Ja, aber maximal für 3 Stunden","Nein, auf keinen Fall","Nein, auf keinen Fall","Ja, für maximal 24 Stunden","Ja, für maximal 24 Stunden","Ja, +",5%,"Ja, +",5%,Nein,,Nein,,"Ja, +",5%,"Ja, +",5%,Ja,Ja,7.001 - 10.000 CHF,Fachhochschule/Bachelor,Ich habe keine feste Parteipräferenz
118721763559,458224841,10/21/2024 10:08:38 PM,10/21/2024 10:14:15 PM,31.164.247.57,,,,,62,Weiblich,3,,Wohnung (Miete),,,Weiss nicht,Ich weiss nicht,Herausforderungen für die Stabilität der Netze,1 = sehr unwichtig,2,4,1 = sehr unwichtig,5 = sehr wichtig,4,"Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, aber maximal für 3 Stunden","Ja, für maximal 24 Stunden","Ja, f",,Nein,,"Ja, f",,"Ja, f",,Nein,,Nein,,Ja,Nein,Unter 3.000 CHF,Berufsausbildung/Lehre/Maturität,Keine Angabe
118721723631,458224841,10/21/2024 09:28:43 PM,10/21/2024 09:33:53 PM,178.197.214.88,,,,,27,Männlich,1,,Wohnung (Miete),,,Konventionellen Strom (Kernenergie und fossilen Brennstoffen),Wn,Notwendigkeit kostspieliger Netzinfrastruktur-Upgrades,1 = sehr unwichtig,5 = sehr wichtig,2,1 = sehr unwichtig,5 = sehr wichtig,5 = sehr wichtig,"Ja, für mehr als 24 Stunden","Ja, für maximal 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden",Nein,,"Ja, +",100%,Nein,,Nein,,"Ja, +",100%,"Ja, +",100%,Nein,Ja,3.000 - 5.000 CHF,Berufsausbildung/Lehre/Maturität,Schweizerische Volkspartei (SVP)
118721622091,458224841,10/21/2024 07:48:02 PM,10/21/2024 07:56:07 PM,178.38.13.108,,,,,66,Weiblich,3,,Wohnung (Miete),,,Weiss nicht,Weiss nicht,Steigende Strompreise für Verbraucher,3,5 = sehr wichtig,5 = sehr wichtig,3,5 = sehr wichtig,5 = sehr wichtig,"Ja, für mehr als 24 Stunden","Ja, für maximal 24 Stunden","Ja, für 6 bis 12 Stunden","Ja, für mehr als 24 Stunden","Ja, für 6 bis 12 Stunden","Ja, für 6 bis 12 Stunden","Ja, f",,Nein,,Nein,,"Ja, f",,Nein,,Nein,,Ja,Ja,3.000 - 5.000 CHF,Berufsausbildung/Lehre/Maturität,Sozialdemokratische Partei der Schweiz (SP)
118721620651,458224841,10/20/2024 06:15:33 PM,10/21/2024 07:54:30 PM,85.6.186.159,,,,,70,Männlich,3,,,,Haus (Eigentum),"Ökostrom (aus erneuerbaren Energien wie Wasser, Sonne, Wind)","Grosser Bedarf, wenn geringes Angebot da ist (Winter)",Herausforderungen für die Stabilität der Netze,1 = sehr unwichtig,5 = sehr wichtig,4,4,2,3,"Ja, für 6 bis 12 Stunden","Nein, auf keinen Fall","Ja, aber maximal für 3 Stunden","Ja, aber maximal für 3 Stunden","Ja, für 6 bis 12 Stunden","Ja, aber maximal für 3 Stunden","Ja, f",10%,Nein,,"Ja, f",10%,"Ja, f",10%,"Ja, f",10%,"Ja, f",10%,Ja,Ja,5.001 - 7.000 CHF,Fachhochschule/Bachelor,Sozialdemokratische Partei der Schweiz (SP)
118721595224,458224841,10/21/2024 07:11:45 PM,10/21/2024 07:26:54 PM,46.126.0.251,,,,,57,Weiblich,1,,Wohnung (Miete),,,Konventionellen Strom (Kernenergie und fossilen Brennstoffen),Weiss nicht,Steigende Strompreise für Verbraucher,1 = sehr unwichtig,5 = sehr wichtig,5 = sehr wichtig,5 = sehr wichtig,1 = sehr unwichtig,5 = sehr wichtig,"Ja, für mehr als 24 Stunden","Nein, auf keinen Fall","Nein, auf keinen Fall","Nein, auf keinen Fall","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, +",,Nein,,Nein,,Nein,,"Ja, +",,"Ja, +",,Ja,Nein,Unter 3.000 CHF,Keine Schulbildung,Keine Angabe
118721556715,458224841,10/21/2024 06:40:01 PM,10/21/2024 06:46:20 PM,31.10.158.171,,,,,60,Weiblich,2,,,,Haus (Eigentum),Konventionellen Strom (Kernenergie und fossilen Brennstoffen),wn,Steigende Strompreise für Verbraucher,3,5 = sehr wichtig,2,3,5 = sehr wichtig,4,"Ja, für maximal 24 Stunden","Ja, für 3 bis 6 Stunden","Ja, für mehr als 24 Stunden","Ja, für maximal 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden",,,,,,,,,,,,,Ja,Nein,Unter 3.000 CHF,Berufsausbildung/Lehre/Maturität,Keine Angabe
118721543449,458224841,10/21/2024 06:26:08 PM,10/21/2024 06:32:15 PM,213.55.242.198,,,,,30,Weiblich,2,,Wohnung (Miete),,,"Ökostrom (aus erneuerbaren Energien wie Wasser, Sonne, Wind)","Ja. Nämlich überhaupt den Strombedarf zu decken sehe ich ohne Kernenergie als Herausforderung. Der Einfluss von Staudämmen, Wasserkraftweken, Windräder etc. ist leider im Vergleich zu AKW nur marginal.",Steigende Strompreise für Verbraucher,3,4,3,4,5 = sehr wichtig,3,"Ja, für mehr als 24 Stunden","Ja, für 6 bis 12 Stunden","Ja, für mehr als 24 Stunden","Ja, für 6 bis 12 Stunden","Ja, aber maximal für 3 Stunden","Ja, für mehr als 24 Stunden",Nein,,Nein,,Nein,,Nein,,Nein,,Nein,,Nein,Nein,7.001 - 10.000 CHF,Fachhochschule/Bachelor,Schweizerische Volkspartei (SVP)
118721499184,458224841,10/21/2024 05:43:15 PM,10/21/2024 05:48:42 PM,84.227.6.73,,,,,28,Weiblich,3,,Wohnung (Miete),,,Weiss nicht,Wn,Keine der genannten Konsequenzen ist problematisch,4,5 = sehr wichtig,5 = sehr wichtig,4,5 = sehr wichtig,5 = sehr wichtig,"Ja, aber maximal für 3 Stunden","Ja, aber maximal für 3 Stunden","Ja, aber maximal für 3 Stunden","Ja, für 6 bis 12 Stunden","Ja, für 3 bis 6 Stunden","Ja, für 3 bis 6 Stunden","Ja, f",,"Ja, f",,"Ja, f",,"Ja, f",,"Ja, f",,"Ja, f",,Ja,Ja,3.000 - 5.000 CHF,Berufsausbildung/Lehre/Maturität,Keine Angabe
118721456430,458224841,10/21/2024 05:04:43 PM,10/21/2024 05:08:06 PM,213.159.156.69,,,,,49,Weiblich,4,,Wohnung (Miete),,,Eine Mischung aus konventionellem Strom und Ökostrom,Wn,Steigende Strompreise für Verbraucher,2,5 = sehr wichtig,5 = sehr wichtig,5 = sehr wichtig,5 = sehr wichtig,5 = sehr wichtig,"Ja, für mehr als 24 Stunden","Nein, auf keinen Fall","Ja, für 3 bis 6 Stunden","Ja, für 3 bis 6 Stunden","Ja, für 3 bis 6 Stunden","Ja, für 3 bis 6 Stunden",Nein,,Nein,,Nein,,Nein,,Nein,,Nein,,Ja,Ja,7.001 - 10.000 CHF,Universität/Master,Ich habe keine feste Parteipräferenz
118721400034,458224841,10/21/2024 04:04:33 PM,10/21/2024 04:10:29 PM,77.56.68.99,,,,,66,Weiblich,1,,Wohnung (Miete),,,Eine Mischung aus konventionellem Strom und Ökostrom,Wn,Bedrohung der Rentabilität von Stromunternehmen,3,1 = sehr unwichtig,5 = sehr wichtig,5 = sehr wichtig,5 = sehr wichtig,3,"Ja, für mehr als 24 Stunden","Ja, für 6 bis 12 Stunden","Ja, für 3 bis 6 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden",,3%,,,,,"Ja, f",,Nein,,"Ja, f",,Ja,Ja,Keine Angabe,Keine Schulbildung,FDP.Die Liberalen (FDP)
118721395041,458224841,10/21/2024 03:58:23 PM,10/21/2024 04:05:26 PM,217.151.124.109,,,,,61,Weiblich,2,Wohnung (Eigentum),,,,Konventionellen Strom (Kernenergie und fossilen Brennstoffen),"Ja, genügend Zufluss/ Kapazität in Mehrfamilienhäuser",Herausforderungen für die Stabilität der Netze,4,5 = sehr wichtig,4,4,5 = sehr wichtig,4,"Ja, für mehr als 24 Stunden","Ja, für 6 bis 12 Stunden","Ja, für maximal 24 Stunden","Ja, für 3 bis 6 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, f",,"Ja, +",10%,"Ja, +",10%,Nein,,"Ja, +",20%,"Ja, +",20%,Ja,Ja,7.001 - 10.000 CHF,Berufsausbildung/Lehre/Maturität,Die Mitte
118721391105,458224841,10/21/2024 03:56:35 PM,10/21/2024 04:01:29 PM,62.167.160.52,,,,,63,Weiblich,1,,Wohnung (Miete),,,Konventionellen Strom (Kernenergie und fossilen Brennstoffen),Weiss nicht,Steigende Strompreise für Verbraucher,3,4,5 = sehr wichtig,4,4,4,"Ja, für mehr als 24 Stunden","Ja, für maximal 24 Stunden","Nein, auf keinen Fall","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden",,10%,"Ja, f",,"Ja, f",,,4%,"Ja, f",,"Ja, f",,Ja,Ja,3.000 - 5.000 CHF,Berufsausbildung/Lehre/Maturität,Die Mitte
118721337485,458224841,10/21/2024 02:49:08 PM,10/21/2024 02:57:57 PM,194.230.145.233,,,,,30,Männlich,2,,Wohnung (Miete),,,Konventionellen Strom (Kernenergie und fossilen Brennstoffen),"Ja, es wird von diversen Haushalten Energie eingespeist, welches jedoch nicht finanziell lukrativ ist zur Zeit",Steigende Strompreise für Verbraucher,4,5 = sehr wichtig,4,2,3,3,"Ja, für maximal 24 Stunden","Ja, für maximal 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, +",5%,Nein,,"Ja, +",30%,"Ja, f",,Nein,,"Ja, +",30%,Ja,Ja,3.000 - 5.000 CHF,Fachhochschule/Bachelor,Ich habe keine feste Parteipräferenz
118721331365,458224841,10/21/2024 02:44:41 PM,10/21/2024 02:49:45 PM,85.4.141.43,,,,,30,Weiblich,3,,,,Haus (Eigentum),Eine Mischung aus konventionellem Strom und Ökostrom,Solar ,Herausforderungen für die Stabilität der Netze,3,5 = sehr wichtig,4,5 = sehr wichtig,4,4,"Ja, für maximal 24 Stunden","Ja, aber maximal für 3 Stunden","Ja, für 6 bis 12 Stunden","Nein, auf keinen Fall","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, +",10%,Nein,,"Ja, +",15%,Nein,,Nein,,Nein,,Ja,Ja,3.000 - 5.000 CHF,Fachhochschule/Bachelor,Schweizerische Volkspartei (SVP)
118721328556,458224841,10/21/2024 02:42:59 PM,10/21/2024 02:45:59 PM,194.230.161.214,,,,,26,Weiblich,2,,Wohnung (Miete),,,Konventionellen Strom (Kernenergie und fossilen Brennstoffen),Wn,Steigende Strompreise für Verbraucher,1 = sehr unwichtig,5 = sehr wichtig,3,2,4,2,"Ja, für mehr als 24 Stunden","Ja, für maximal 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, f",10%,Nein,,"Ja, +",20%,Nein,,Nein,,"Ja, f",30%,Ja,Ja,3.000 - 5.000 CHF,Berufsausbildung/Lehre/Maturität,Ich habe keine feste Parteipräferenz
118721197328,458224841,10/21/2024 10:23:26 AM,10/21/2024 10:31:17 AM,194.230.160.81,,,,,29,Männlich,2,,,Haus (Miete),,Eine Mischung aus konventionellem Strom und Ökostrom,"Ja, wn",Herausforderungen für die Stabilität der Netze,2,4,4,5 = sehr wichtig,2,3,"Ja, aber maximal für 3 Stunden","Nein, auf keinen Fall","Ja, aber maximal für 3 Stunden","Nein, auf keinen Fall","Ja, aber maximal für 3 Stunden","Nein, auf keinen Fall","Ja, +",10%,Nein,,"Ja, +",50%,Nein,,"Ja, +",10%,Nein,,Ja,Ja,5.001 - 7.000 CHF,Berufsausbildung/Lehre/Maturität,Ich habe keine feste Parteipräferenz
118721153752,458224841,10/20/2024 06:54:47 PM,10/21/2024 08:54:05 AM,213.55.184.82,,,,,20,Männlich,2,,Wohnung (Miete),,,Weiss nicht,Denke nicht,Steigende Strompreise für Verbraucher,1 = sehr unwichtig,4,3,2,4,2,"Ja, für mehr als 24 Stunden","Ja, für 6 bis 12 Stunden","Ja, für maximal 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, +",100%,"Ja, +",100%,"Ja, +",100%,"Ja, +",100%,"Ja, +",100%,"Ja, +",100%,Ja,Ja,5.001 - 7.000 CHF,Berufsausbildung/Lehre/Maturität,Die Mitte
118721125261,458224841,10/20/2024 06:34:34 PM,10/21/2024 07:35:41 AM,178.197.222.179,,,,,57,Männlich,4,,,,Haus (Eigentum),"Ökostrom (aus erneuerbaren Energien wie Wasser, Sonne, Wind)","Ja. Tag/Nacht Mix, flexible Preise,…",Herausforderungen für die Stabilität der Netze,2,4,3,5 = sehr wichtig,2,3,"Ja, für 3 bis 6 Stunden","Ja, aber maximal für 3 Stunden","Ja, für 3 bis 6 Stunden",,"Ja, aber maximal für 3 Stunden","Ja, aber maximal für 3 Stunden","Ja, +",30%,Nein,0%,"Ja, +",30%,Nein,0%,"Ja, +",30%,"Ja, +",30%,Ja,Ja,Über 10.000 CHF,Fachhochschule/Bachelor,Grünliberale Partei (GLP)
